iter	RMSE
0	20.16489588
1	19.84907448
2	19.56733521
3	19.30310526
4	19.06748046
5	18.85355639
6	18.6700541
7	18.47146281
8	18.30643668
9	18.1705197
10	18.03377497
11	17.90240931
12	17.78511869
13	17.67185352
14	17.57477744
15	17.49273111
16	17.40195837
17	17.32201708
18	17.25768512
19	17.19807165
20	17.14427612
21	17.07979042
22	17.0207356
23	16.96802565
24	16.91905482
25	16.86898835
26	16.81812242
27	16.77069674
28	16.72840146
29	16.68585736
30	16.64820208
31	16.61153606
32	16.5704485
33	16.54635956
34	16.50748877
35	16.46899812
36	16.44007275
37	16.41773802
38	16.39229527
39	16.36408778
40	16.33542404
41	16.3120994
42	16.28794364
43	16.26714221
44	16.23805708
45	16.21744788
46	16.18530523
47	16.1667417
48	16.14582838
49	16.12546466
50	16.09808742
51	16.07677905
52	16.05858749
53	16.03963245
54	16.02398721
55	16.00534413
56	15.98765392
57	15.96758712
58	15.95505562
59	15.94620827
60	15.93268978
61	15.91247766
62	15.89940291
63	15.884571
64	15.86409128
65	15.84619818
66	15.83221471
67	15.82302462
68	15.81412202
69	15.79805918
70	15.78963382
71	15.77369966
72	15.7621632
73	15.75069243
74	15.73342841
75	15.71597577
76	15.70458892
77	15.68321676
78	15.67432802
79	15.65287626
80	15.64221589
81	15.62325835
82	15.61191674
83	15.59976612
84	15.58064378
85	15.56386158
86	15.54936886
87	15.53247553
88	15.52282524
89	15.50682518
90	15.49874427
91	15.48443191
92	15.47198656
93	15.46242684
94	15.45096347
95	15.43092122
96	15.40635713
97	15.39193438
98	15.38349933
99	15.37229525
100	15.35809227
101	15.34123693
102	15.32921847
103	15.31248996
104	15.30627306
105	15.29084784
106	15.27587524
107	15.26800457
108	15.25564705
109	15.23779457
110	15.2331569
111	15.22390733
112	15.21250014
113	15.204118
114	15.19458869
115	15.17633315
116	15.16241566
117	15.15521167
118	15.14671054
119	15.13064233
120	15.1167433
121	15.10446847
122	15.09542818
123	15.08385756
124	15.07551478
125	15.06257125
126	15.05487142
127	15.04192844
128	15.02513801
129	15.01307606
130	15.00396647
131	14.98997344
132	14.97607717
133	14.96926713
134	14.96173793
135	14.95650501
136	14.94800686
137	14.93534284
138	14.92232356
139	14.91981708
140	14.9043567
141	14.89011224
142	14.88214159
143	14.87522378
144	14.85927611
145	14.84565858
146	14.83325916
147	14.82490344
148	14.82051996
149	14.81168974
150	14.80595304
151	14.79675043
152	14.78595636
153	14.77668556
154	14.76167391
155	14.7526101
156	14.74506876
157	14.73600102
158	14.72098246
159	14.7134886
160	14.70533625
161	14.69389118
162	14.68617651
163	14.67750674
164	14.6635737
165	14.65503772
166	14.64562163
167	14.63371043
168	14.62582282
169	14.61515478
170	14.60093862
171	14.59262889
172	14.58314351
173	14.57506475
174	14.56450453
175	14.55563522
176	14.54471273
177	14.539341
178	14.52327182
179	14.51521572
180	14.50739321
181	14.49903244
182	14.49207295
183	14.48072175
184	14.47481081
185	14.46596091
186	14.45913937
187	14.44768648
188	14.43562637
189	14.42894188
190	14.42158792
191	14.4132426
192	14.40539127
193	14.39846462
194	14.39002198
195	14.38336534
196	14.36828758
197	14.36148259
198	14.35298679
199	14.34444425
200	14.33235707
201	14.31887188
202	14.31151815
203	14.30133637
204	14.293721
205	14.28479319
206	14.27826746
207	14.268325
208	14.25974127
209	14.24456786
210	14.23372202
211	14.22338577
212	14.21822453
213	14.21077265
214	14.20189137
215	14.19498134
216	14.18880787
217	14.18029479
218	14.17191788
219	14.16588293
220	14.16173271
221	14.15778596
222	14.14894892
223	14.14080565
224	14.13141399
225	14.12158696
226	14.11423873
227	14.1089073
228	14.1002211
229	14.09416759
230	14.08151946
231	14.07204048
232	14.06647089
233	14.06241724
234	14.05868301
235	14.04768364
236	14.03682809
237	14.02271729
238	14.00983278
239	14.00175833
240	13.99494602
241	13.99136595
242	13.98560121
243	13.97735083
244	13.97070518
245	13.96724682
246	13.96391327
247	13.95106139
248	13.94605071
249	13.93718365
250	13.9268198
251	13.92134965
252	13.92125886
253	13.91471483
254	13.91047518
255	13.90396377
256	13.89332347
257	13.89005052
258	13.88181915
259	13.87726474
260	13.87288466
261	13.86496618
262	13.85663533
263	13.83928775
264	13.83049972
265	13.82328777
266	13.82015255
267	13.8135875
268	13.80322882
269	13.79780855
270	13.79024191
271	13.7826931
272	13.77726534
273	13.76754381
274	13.76350891
275	13.75810641
276	13.75350033
277	13.74606268
278	13.73909367
279	13.73133499
280	13.72471873
281	13.71803742
282	13.71320377
283	13.7044785
284	13.69770524
285	13.6883082
286	13.68532823
287	13.68148804
288	13.67621067
