iter	Passed	Remaining
0	1	1940
1	4	2002
2	5	1954
3	8	2019
4	10	2133
5	13	2173
6	25	3602
7	27	3429
8	31	3439
9	33	3333
10	39	3508
11	41	3445
12	44	3386
13	46	3294
14	49	3247
15	51	3188
16	54	3148
17	57	3109
18	59	3065
19	61	3035
20	64	2990
21	67	3003
22	70	2978
23	72	2944
24	74	2924
25	77	2914
26	80	2895
27	82	2870
28	85	2869
29	88	2850
30	90	2832
31	94	2861
32	97	2843
33	99	2828
34	101	2804
35	103	2783
36	106	2769
37	109	2760
38	111	2745
39	114	2745
40	116	2728
41	119	2722
42	121	2705
43	123	2690
44	126	2676
45	128	2667
46	131	2663
47	133	2656
48	136	2640
49	138	2637
50	141	2627
51	143	2618
52	145	2605
53	148	2599
54	150	2592
55	153	2586
56	157	2601
57	159	2590
58	162	2594
59	165	2586
60	167	2582
61	170	2575
62	172	2564
63	174	2557
64	177	2549
65	179	2542
66	182	2536
67	184	2531
68	187	2524
69	189	2520
70	191	2512
71	194	2505
72	196	2500
73	199	2495
74	201	2490
75	204	2485
76	206	2478
77	209	2472
78	211	2466
79	213	2460
80	216	2452
81	218	2445
82	221	2443
83	223	2435
84	225	2431
85	228	2424
86	230	2416
87	232	2413
88	235	2408
89	237	2404
90	240	2398
91	242	2393
92	244	2387
93	247	2382
94	249	2379
95	251	2372
96	254	2370
97	256	2364
98	259	2360
99	261	2354
100	263	2347
101	266	2345
102	269	2344
103	271	2339
104	273	2334
105	276	2329
106	278	2324
107	280	2319
108	283	2314
109	285	2308
110	287	2305
111	290	2303
112	292	2299
113	295	2293
114	297	2291
115	300	2287
116	302	2282
117	304	2278
118	307	2273
119	309	2270
120	311	2266
121	314	2263
122	316	2259
123	318	2249
124	320	2243
125	322	2240
126	325	2235
127	327	2233
128	330	2229
129	332	2225
130	334	2221
131	337	2217
132	342	2233
133	345	2231
134	348	2230
135	351	2230
136	353	2229
137	356	2226
138	359	2226
139	362	2226
140	375	2284
141	377	2282
142	380	2280
143	383	2278
144	385	2275
145	388	2272
146	391	2272
147	394	2271
148	453	2588
149	455	2581
150	458	2580
151	461	2573
152	466	2585
153	470	2581
154	472	2574
155	474	2567
156	476	2559
157	478	2550
158	481	2544
159	483	2537
160	485	2532
161	488	2526
162	490	2519
163	492	2512
164	495	2506
165	497	2501
166	500	2495
167	502	2490
168	505	2485
169	507	2479
170	510	2472
171	512	2466
172	514	2460
173	517	2455
174	519	2449
175	521	2443
176	524	2438
177	526	2432
178	529	2427
179	531	2422
180	534	2417
181	536	2412
182	539	2408
183	541	2402
184	544	2398
185	546	2393
186	549	2388
187	551	2382
188	554	2378
189	556	2374
190	559	2368
191	561	2364
192	564	2359
193	566	2355
194	569	2351
195	572	2346
196	574	2342
197	577	2338
198	580	2336
199	582	2330
200	584	2325
201	587	2321
202	590	2317
203	592	2312
204	594	2307
205	597	2303
206	599	2297
207	602	2293
208	604	2288
209	607	2284
210	609	2280
211	612	2276
212	614	2271
213	616	2266
214	619	2261
215	621	2256
216	623	2250
217	626	2246
218	628	2241
219	631	2237
220	633	2232
221	635	2228
222	638	2225
223	641	2220
224	643	2216
225	646	2212
226	648	2208
227	650	2204
228	654	2201
229	656	2196
230	658	2193
231	661	2189
232	663	2184
233	666	2181
234	668	2177
235	671	2172
236	673	2167
237	675	2163
238	678	2160
239	680	2155
240	682	2150
241	685	2145
242	687	2140
243	689	2137
244	692	2133
245	695	2130
246	697	2126
247	699	2122
248	702	2118
249	704	2113
250	706	2108
251	709	2104
252	711	2101
253	713	2096
254	716	2092
255	718	2089
256	721	2085
257	723	2081
258	725	2077
259	728	2073
260	730	2069
261	733	2065
262	735	2060
263	737	2057
264	740	2053
265	742	2049
266	745	2047
267	748	2043
268	750	2039
269	752	2035
270	755	2031
271	757	2028
272	760	2024
273	762	2020
274	764	2016
275	767	2014
276	770	2010
277	772	2006
278	775	2003
279	777	1999
280	781	1998
281	783	1995
282	787	1993
283	789	1990
284	792	1987
285	794	1983
286	797	1980
287	799	1976
288	801	1972
289	805	1973
290	809	1971
291	811	1968
292	814	1965
293	821	1973
294	824	1969
295	827	1968
296	830	1965
297	832	1961
298	834	1957
299	837	1954
300	840	1951
301	842	1948
302	845	1944
303	847	1940
304	849	1936
305	852	1932
306	854	1929
307	858	1929
308	861	1926
309	863	1923
310	866	1919
311	868	1915
312	871	1912
313	873	1908
314	876	1905
315	878	1901
316	881	1898
317	883	1894
318	886	1891
319	888	1888
320	891	1886
321	894	1882
322	897	1880
323	899	1877
324	902	1875
325	905	1871
326	907	1867
327	909	1864
328	912	1861
329	914	1857
330	917	1853
331	920	1851
332	922	1847
333	924	1844
334	927	1840
335	929	1837
336	932	1834
337	934	1831
338	937	1827
339	939	1824
340	942	1821
341	944	1817
342	947	1814
343	949	1811
344	952	1807
345	954	1804
346	957	1801
347	959	1798
348	961	1794
349	964	1790
350	966	1786
351	968	1783
352	971	1780
353	973	1776
354	976	1773
355	978	1769
356	981	1767
357	983	1763
358	985	1759
359	987	1755
360	990	1752
361	992	1749
362	994	1745
363	997	1742
364	1000	1740
365	1002	1737
366	1005	1734
367	1007	1730
368	1009	1726
369	1012	1723
370	1014	1719
371	1017	1717
372	1019	1713
373	1022	1710
374	1024	1708
375	1027	1705
376	1030	1702
377	1032	1698
378	1035	1695
379	1037	1692
380	1039	1689
381	1042	1686
382	1044	1683
383	1047	1680
384	1050	1677
385	1052	1674
386	1054	1670
387	1057	1667
388	1059	1664
389	1061	1660
390	1064	1657
391	1066	1654
392	1077	1663
393	1079	1660
394	1085	1661
395	1087	1659
396	1090	1656
397	1093	1654
398	1096	1651
399	1099	1649
400	1102	1646
401	1104	1643
402	1106	1639
403	1109	1636
404	1111	1633
405	1114	1630
406	1116	1627
407	1119	1624
408	1122	1621
409	1124	1618
410	1127	1615
411	1130	1612
412	1132	1609
413	1134	1605
414	1136	1602
415	1140	1600
416	1142	1597
417	1145	1594
418	1147	1591
419	1150	1588
420	1153	1585
421	1155	1582
422	1157	1579
423	1160	1576
424	1162	1572
425	1164	1569
426	1167	1566
427	1169	1563
428	1172	1560
429	1174	1556
430	1176	1553
431	1178	1550
432	1182	1548
